Protein,Cluster
GCF_000649275_1_Myco_tube_2229BH_V1_genomic',cluster5
GCF_000649295_1_Myco_tube_2228BH_V1_genomic',cluster5
GCF_000649315_1_Myco_tube_3067CJ_V1_genomic',cluster5
GCF_000649335_1_Myco_tube_2100HD_V1_genomic',cluster5
GCF_000649355_1_Myco_tube_2099HD_V1_genomic',cluster5
GCF_000649375_1_Myco_tube_2094HD_V1_genomic',cluster5
GCF_000649395_1_Myco_tube_2093HD_V1_genomic',cluster5
GCF_000649415_1_Myco_tube_2091HD_V1_genomic',cluster5
GCF_000649435_1_Myco_tube_2543MS_V1_genomic',cluster5
GCF_000649455_1_Myco_tube_2541MS_V1_genomic',cluster5
GCF_000649475_1_Myco_tube_2089HD_V1_genomic',cluster5
GCF_000649495_1_Myco_tube_2088HD_V1_genomic',cluster5
GCF_000649515_1_Myco_tube_3499MM_V1_genomic',cluster5
GCF_000649535_1_Myco_tube_1755BN_V1_genomic',cluster5
GCF_000649555_1_Myco_tube_1430BH_V1_genomic',cluster5
GCF_000649575_1_Myco_tube_1429BH_V1_genomic',cluster5
GCF_000649595_1_Myco_tube_1173CS_V1_genomic',cluster1
GCF_000649615_1_Myco_tube_1010SM_V1_genomic',cluster5
GCF_000649635_1_Myco_bovi_Wt_21231_V1_genomic',cluster5
GCF_000649655_1_Myco_bovi_Bz_31150_V1_genomic',cluster2
GCF_000649675_1_Myco_bovi_B2_7505_V1_genomic',cluster9
GCF_000649695_1_Myco_bovi_Wt_21419_V1_genomic',cluster5
GCF_000649715_1_Myco_bovi_Mr_4387_V1_genomic',cluster5
GCF_000649735_1_Myco_bovi_Kc_9614_V1_genomic',cluster5
GCF_000649755_1_Myco_tube_MD17898_V1_genomic',cluster4
GCF_000649775_1_Myco_tube_MD17904_V1_genomic',cluster1
GCF_000649795_1_Myco_tube_MD17902_V1_genomic',cluster5
GCF_000649815_1_Myco_tube_MD16555_V1_genomic',cluster4
GCF_000649835_1_Myco_tube_MD18478_V1_genomic',cluster5
GCF_000649855_1_Myco_tube_MD18489_V1_genomic',cluster4
GCF_000649875_1_Myco_tube_MD19964_V1_genomic',cluster4
GCF_000649895_1_Myco_tube_MD19693_V1_genomic',cluster5
GCF_000649915_1_Myco_tube_MD19042_V1_genomic',cluster4
GCF_000649935_1_Myco_tube_MD17614_V1_genomic',cluster4
GCF_000649955_1_Myco_tube_MD17615_V1_genomic',cluster5
GCF_000649975_1_Myco_tube_MD17748_V1_genomic',cluster4
GCF_000649995_1_Myco_tube_MD19043_V1_genomic',cluster4
GCF_000650015_1_Myco_tube_MD20845_V1_genomic',cluster5
GCF_000650035_1_Myco_tube_MD19339_V1_genomic',cluster5
GCF_000650055_1_Myco_tube_MD19591_V1_genomic',cluster5
GCF_000650075_1_Myco_tube_MD18472_V1_genomic',cluster5
GCF_000650095_1_Myco_tube_MD19323_V1_genomic',cluster4
GCF_000650115_1_Myco_tube_MD19051_V1_genomic',cluster1
GCF_000650135_1_Myco_tube_MD18096_V1_genomic',cluster4
GCF_000650155_1_Myco_tube_MD17973_V1_genomic',cluster4
GCF_000650175_1_Myco_tube_MD18112_V1_genomic',cluster5
GCF_000650195_1_Myco_tube_MD17903_V1_genomic',cluster5
GCF_000650215_1_Myco_tube_MD15594_V1_genomic',cluster4
GCF_000650235_1_Myco_tube_MD16728_V1_genomic',cluster5
GCF_000650255_1_Myco_tube_MD18498_V1_genomic',cluster5
GCF_000650275_1_Myco_tube_MD18116_V1_genomic',cluster1
GCF_000650295_1_Myco_tube_MD18090_V1_genomic',cluster5
GCF_000650315_1_Myco_tube_MD18314_V1_genomic',cluster5
GCF_000650335_1_Myco_tube_MD16261_V1_genomic',cluster1
GCF_000650355_1_Myco_tube_MD16732_V1_genomic',cluster4
GCF_000650375_1_Myco_tube_MD17021_V1_genomic',cluster4
GCF_000650395_1_Myco_tube_MD17503_V1_genomic',cluster1
GCF_000650415_1_Myco_tube_MD17517_V1_genomic',cluster5
GCF_000650435_1_Myco_tube_MD17647_V1_genomic',cluster4
GCF_000650455_1_Myco_tube_MD17613_V1_genomic',cluster5
GCF_000650475_1_Myco_tube_MD16775_V1_genomic',cluster5
GCF_000650495_1_Myco_tube_MD17240_V1_genomic',cluster1
GCF_000650515_1_Myco_tube_MD17656_V1_genomic',cluster5
GCF_000650535_1_Myco_tube_MD17888_V1_genomic',cluster5
GCF_000650555_1_Myco_tube_MD16577_V1_genomic',cluster6
GCF_000650575_1_Myco_tube_MD16277_V1_genomic',cluster5
GCF_000650595_1_Myco_tube_MD16553_V1_genomic',cluster5
GCF_000650615_1_Myco_tube_MD15766_V1_genomic',cluster5
GCF_000650635_1_Myco_tube_MD15974_V1_genomic',cluster5
GCF_000650655_1_Myco_tube_MD16265_V1_genomic',cluster5
GCF_000650675_1_Myco_tube_MD15226_V1_genomic',cluster5
GCF_000650695_1_Myco_tube_MD16568_V1_genomic',cluster4
GCF_000650715_1_Myco_tube_MD16571_V1_genomic',cluster4
GCF_000650735_1_Myco_tube_MD17006_V1_genomic',cluster3
GCF_000650755_1_Myco_tube_MD15430_V1_genomic',cluster1
GCF_000650775_1_Myco_tube_MD17232_V1_genomic',cluster4
GCF_000650795_1_Myco_tube_MD15956_V1_genomic',cluster5
GCF_000650815_1_Myco_tube_MD15977_V1_genomic',cluster1
GCF_000650835_1_Myco_tube_MD15770_V1_genomic',cluster4
GCF_000650855_1_Myco_tube_MD15963_V1_genomic',cluster5
GCF_000650875_1_Myco_tube_MD15855_V1_genomic',cluster4
GCF_000650895_1_Myco_tube_MD16257_V1_genomic',cluster4
GCF_000650915_1_Myco_tube_MD14620_V1_genomic',cluster4
GCF_000650935_1_Myco_tube_MD14844_V1_genomic',cluster5
GCF_000650955_1_Myco_tube_MD14847_V1_genomic',cluster5
GCF_000650975_1_Myco_tube_MD15050_V1_genomic',cluster4
GCF_000650995_1_Myco_tube_MD13874_V1_genomic',cluster5
GCF_000651015_1_Myco_tube_MD14621_V1_genomic',cluster5
GCF_000651035_1_Myco_tube_MD14832_V1_genomic',cluster4
GCF_000651055_1_Myco_tube_MD15973_V1_genomic',cluster5
GCF_000651075_1_Myco_tube_MD13878_V1_genomic',cluster1
GCF_000651095_1_Myco_tube_MD14002_V1_genomic',cluster5
GCF_000651115_1_Myco_tube_MD14435_V1_genomic',cluster5
GCF_000651135_1_Myco_tube_MD14709_V1_genomic',cluster4
GCF_000651155_1_Myco_tube_MD15597_V1_genomic',cluster4
GCF_000651175_1_Myco_tube_MD14720_V1_genomic',cluster5
GCF_000651195_1_Myco_tube_MD15212_V1_genomic',cluster5
GCF_000651215_1_Myco_tube_MD14437_V1_genomic',cluster5
GCF_000651235_1_Myco_tube_MD16573_V1_genomic',cluster5
GCF_000651255_1_Myco_tube_MD15584_V1_genomic',cluster5
GCF_000651275_1_Myco_tube_MD15758_V1_genomic',cluster4
GCF_000651295_1_Myco_tube_MD15765_V1_genomic',cluster5
GCF_000651315_1_Myco_tube_MD15762_V1_genomic',cluster5
GCF_000651335_1_Myco_tube_TKK_03_0012_V1_genomic',cluster4
GCF_000651355_1_Myco_tube_TKK_03_0015_V1_genomic',cluster5
GCF_000651375_1_Myco_tube_TKK_03_0021_V1_genomic',cluster5
GCF_000651395_1_Myco_tube_TKK_03_0023_V1_genomic',cluster5
GCF_000651415_1_Myco_tube_TKK_03_0024_V1_genomic',cluster5
GCF_000651435_1_Myco_tube_TKK_03_0028_V1_genomic',cluster4
GCF_000651455_1_Myco_tube_TKK_03_0035_V1_genomic',cluster5
GCF_000651475_1_Myco_tube_TKK_03_0037_V1_genomic',cluster5
GCF_000651495_1_Myco_tube_TKK_03_0038_V1_genomic',cluster5
GCF_000651515_1_Myco_tube_TKK_03_0039_V1_genomic',cluster4
GCF_000651535_1_Myco_tube_TKK_03_0040_V1_genomic',cluster4
GCF_000651555_1_Myco_tube_TKK_03_0042_V1_genomic',cluster5
GCF_000651575_1_Myco_tube_TKK_03_0044_V1_genomic',cluster5
GCF_000651595_1_Myco_tube_TKK_03_0047_V1_genomic',cluster4
GCF_000651615_1_Myco_tube_TKK_03_0050_V1_genomic',cluster5
GCF_000651635_1_Myco_tube_TKK_03_0058_V1_genomic',cluster4
GCF_000651655_1_Myco_tube_TKK_03_0059_V1_genomic',cluster5
GCF_000651675_1_Myco_tube_TKK_03_0062_V1_genomic',cluster5
GCF_000651695_1_Myco_tube_TKK_03_0063_V1_genomic',cluster7
GCF_000651715_1_Myco_tube_TKK_03_0064_V1_genomic',cluster5
GCF_000651735_1_Myco_tube_TKK_03_0065_V1_genomic',cluster4
GCF_000651755_1_Myco_tube_TKK_03_0072_V1_genomic',cluster4
GCF_000651775_1_Myco_tube_TKK_03_0075_V1_genomic',cluster4
GCF_000651795_1_Myco_tube_TKK_03_0083_V1_genomic',cluster4
GCF_000651815_1_Myco_tube_TKK_03_0089_V1_genomic',cluster5
GCF_000651835_1_Myco_tube_TKK_03_0090_V1_genomic',cluster4
GCF_000651855_1_Myco_tube_TKK_03_0092_V1_genomic',cluster5
GCF_000651875_1_Myco_tube_TKK_03_0094_V1_genomic',cluster5
GCF_000651895_1_Myco_tube_TKK_03_0096_V1_genomic',cluster5
GCF_000651915_1_Myco_tube_TKK_03_0098_V1_genomic',cluster5
GCF_000651935_1_Myco_tube_TKK_03_0099_V1_genomic',cluster7
GCF_000651955_1_Myco_tube_TKK_03_0100_V1_genomic',cluster4
GCF_000651975_1_Myco_tube_TKK_03_0101_V1_genomic',cluster5
GCF_000651995_1_Myco_tube_TKK_03_0103_V1_genomic',cluster5
GCF_000652015_1_Myco_tube_TKK_03_0105_V1_genomic',cluster5
GCF_000652035_1_Myco_tube_TKK_03_0106_V1_genomic',cluster5
GCF_000652055_1_Myco_tube_TKK_03_0108_V1_genomic',cluster7
GCF_000652075_1_Myco_tube_TKK_03_0109_V1_genomic',cluster4
GCF_000652095_1_Myco_tube_TKK_03_0111_V1_genomic',cluster4
GCF_000652115_1_Myco_tube_TKK_03_0112_V1_genomic',cluster4
GCF_000652135_1_Myco_tube_TKK_03_0113_V1_genomic',cluster5
GCF_000652155_1_Myco_tube_TKK_03_0114_V1_genomic',cluster4
GCF_000652175_1_Myco_tube_TKK_03_0115_V1_genomic',cluster1
GCF_000652195_1_Myco_tube_TKK_03_0116_V1_genomic',cluster9
GCF_000652215_1_Myco_tube_TKK_03_0118_V1_genomic',cluster4
GCF_000652235_1_Myco_tube_TKK_03_0149_V1_genomic',cluster4
GCF_000652255_1_Myco_tube_TKK_03_0150_V1_genomic',cluster7
GCF_000652275_1_Myco_tube_TKK_03_0153_V1_genomic',cluster7
GCF_000652295_1_Myco_tube_TKK_03_0154_V1_genomic',cluster4
GCF_000652315_1_Myco_tube_TKK_03_0156_V1_genomic',cluster4
GCF_000652335_1_Myco_tube_TKK_03_0158_V1_genomic',cluster7
GCF_000652355_1_Myco_tube_TKK_03_0159_V1_genomic',cluster1
GCF_000652375_1_Myco_tube_TKK_03_0160_V1_genomic',cluster4
GCF_000652395_1_Myco_tube_TKK_04_0051_V1_genomic',cluster1
GCF_000652415_1_Myco_tube_TKK_04_0054_V1_genomic',cluster4
GCF_000652435_1_Myco_tube_TKK_04_0059_V1_genomic',cluster1
GCF_000652455_1_Myco_tube_TKK_04_0060_V1_genomic',cluster1
GCF_000652475_1_Myco_tube_TKK_04_0061_V1_genomic',cluster5
GCF_000652495_1_Myco_tube_TKK_04_0063_V1_genomic',cluster7
GCF_000652515_1_Myco_tube_TKK_04_0064_V1_genomic',cluster1
GCF_000652535_1_Myco_tube_TKK_04_0066_V1_genomic',cluster1
GCF_000652555_1_Myco_tube_TKK_04_0067_V1_genomic',cluster5
GCF_000652575_1_Myco_tube_TKK_04_0068_V1_genomic',cluster7
GCF_000652595_1_Myco_tube_TKK_04_0069_V1_genomic',cluster7
GCF_000652615_1_Myco_tube_TKK_04_0070_V1_genomic',cluster1
GCF_000652635_1_Myco_tube_TKK_04_0071_V1_genomic',cluster7
GCF_000652655_1_Myco_tube_TKK_04_0072_V1_genomic',cluster7
GCF_000652675_1_Myco_tube_TKK_04_0075_V1_genomic',cluster5
GCF_000652695_1_Myco_tube_TKK_04_0078_V1_genomic',cluster1
GCF_000652715_1_Myco_tube_TKK_04_0079_V1_genomic',cluster7
GCF_000652735_1_Myco_tube_TKK_04_0080_V1_genomic',cluster9
GCF_000652755_1_Myco_tube_TKK_04_0081_V1_genomic',cluster1
GCF_000652775_1_Myco_tube_TKK_04_0082_V1_genomic',cluster1
GCF_000652795_1_Myco_tube_TKK_04_0083_V1_genomic',cluster1
GCF_000652815_1_Myco_tube_TKK_04_0084_V1_genomic',cluster4
GCF_000652835_1_Myco_tube_TKK_04_0086_V1_genomic',cluster4
GCF_000652855_1_Myco_tube_TKK_05MA_0001_V1_genomic',cluster1
GCF_000652875_1_Myco_tube_TKK_05MA_0004_V1_genomic',cluster5
GCF_000652895_1_Myco_tube_TKK_05MA_0010_V1_genomic',cluster5
GCF_000652915_1_Myco_tube_TKK_05MA_0011_V1_genomic',cluster1
GCF_000652935_1_Myco_tube_TKK_05MA_0012_V1_genomic',cluster5
GCF_000652955_1_Myco_tube_TKK_05MA_0016_V1_genomic',cluster5
GCF_000652975_1_Myco_tube_TKK_05MA_0017_V1_genomic',cluster4
GCF_000652995_1_Myco_tube_TKK_05MA_0018_V1_genomic',cluster7
GCF_000653015_1_Myco_tube_TKK_05MA_0020_V1_genomic',cluster5
GCF_000653035_1_Myco_tube_TKK_05MA_0025_V1_genomic',cluster5
GCF_000653055_1_Myco_tube_TKK_05MA_0026_V1_genomic',cluster1
GCF_000653075_1_Myco_tube_TKK_05MA_0031_V1_genomic',cluster4
GCF_000653095_1_Myco_tube_TKK_05MA_0033_V1_genomic',cluster5
GCF_000653115_1_Myco_tube_TKK_05MA_0035_V1_genomic',cluster5
GCF_000653135_1_Myco_tube_TKK_05MA_0036_V1_genomic',cluster5
GCF_000653155_1_Myco_tube_TKK_05MA_0037_V1_genomic',cluster5
GCF_000653175_1_Myco_tube_TKK_05MA_0040_V1_genomic',cluster5
GCF_000653195_1_Myco_tube_TKK_05MA_0044_V1_genomic',cluster5
GCF_000653215_1_Myco_tube_TKK_05MA_0046_V1_genomic',cluster4
GCF_000653235_1_Myco_tube_TKK_05MA_0048_V1_genomic',cluster1
GCF_000653255_1_Myco_tube_TKK_05MA_0052_V1_genomic',cluster4
GCF_000653275_1_Myco_tube_TKK_05MA_0056_V1_genomic',cluster5
GCF_000653295_1_Myco_tube_TKK_05MA_0058_V1_genomic',cluster5
GCF_000653315_1_Myco_tube_TKK_05MA_2005_V1_genomic',cluster1
GCF_000653335_1_Myco_tube_TKK_05MA_2008_V1_genomic',cluster1
GCF_000653355_1_Myco_tube_TKK_05MA_2015_V1_genomic',cluster5
GCF_000653375_1_Myco_tube_TKK_05SA_0010_V1_genomic',cluster5
GCF_000653395_1_Myco_tube_TKK_05SA_0012_V1_genomic',cluster5
GCF_000653415_1_Myco_tube_TKK_05SA_0014_V1_genomic',cluster5
GCF_000653435_1_Myco_tube_TKK_05SA_0016_V1_genomic',cluster5
GCF_000653455_1_Myco_tube_TKK_05SA_0017_V1_genomic',cluster4
GCF_000653475_1_Myco_tube_TKK_05SA_0018_V1_genomic',cluster7
GCF_000653495_1_Myco_tube_TKK_05SA_0019_V1_genomic',cluster4
GCF_000653515_1_Myco_tube_TKK_05SA_0021_V1_genomic',cluster7
GCF_000653535_1_Myco_tube_TKK_05SA_0023_V1_genomic',cluster4
GCF_000653555_1_Myco_tube_TKK_05SA_0025_V1_genomic',cluster5
GCF_000653575_1_Myco_tube_TKK_05SA_0031_V1_genomic',cluster4
GCF_000653595_1_Myco_tube_TKK_05SA_0036_V1_genomic',cluster5
GCF_000653615_1_Myco_tube_TKK_05SA_0041_V1_genomic',cluster5
GCF_000653635_1_Myco_tube_TKK_05SA_0042_V1_genomic',cluster1
GCF_000653655_1_Myco_tube_TKK_05SA_0043_V1_genomic',cluster1
GCF_000653675_1_Myco_tube_TKK_05SA_0044_V1_genomic',cluster5
GCF_000653695_1_Myco_tube_TKK_05SA_0046_V1_genomic',cluster4
GCF_000653715_1_Myco_tube_TKK_05SA_0047_V1_genomic',cluster4
GCF_000653735_1_Myco_tube_TKK_05SA_0048_V1_genomic',cluster1
GCF_000653755_1_Myco_tube_TKK_05SA_0050_V1_genomic',cluster5
GCF_000653775_1_Myco_tube_TKK_05SA_0052_V1_genomic',cluster4
GCF_000653795_1_Myco_tube_TKK_05SA_0054_V1_genomic',cluster5
GCF_000653815_1_Myco_tube_TKK_05SA_0055_V1_genomic',cluster1
GCF_000653835_1_Myco_tube_TKK_05SA_0058_V1_genomic',cluster5
GCF_000653855_1_Myco_tube_TKK_04_0074_V1_genomic',cluster5
GCF_000653875_1_Myco_tube_TKK_04_0085_V1_genomic',cluster9
GCF_000653895_1_Myco_tube_TKK_04_0089_V1_genomic',cluster4
GCF_000653915_1_Myco_tube_TKK_04_0090_V1_genomic',cluster1
GCF_000653935_1_Myco_tube_TKK_04_0094_V1_genomic',cluster5
GCF_000653955_1_Myco_tube_TKK_04_0096_V1_genomic',cluster1
GCF_000653975_1_Myco_tube_TKK_04_0098_V1_genomic',cluster4
GCF_000653995_1_Myco_tube_TKK_04_0099_V1_genomic',cluster1
GCF_000654015_1_Myco_tube_TKK_04_0103_V1_genomic',cluster7
GCF_000654035_1_Myco_tube_TKK_04_0105_V1_genomic',cluster1
GCF_000654055_1_Myco_tube_TKK_04_0106_V1_genomic',cluster1
GCF_000654075_1_Myco_tube_TKK_04_0107_V1_genomic',cluster4
GCF_000654095_1_Myco_tube_TKK_04_0109_V1_genomic',cluster1
GCF_000654115_1_Myco_tube_TKK_04_0113_V1_genomic',cluster7
GCF_000654135_1_Myco_tube_TKK_04_0114_V1_genomic',cluster4
GCF_000654155_1_Myco_tube_TKK_04_0117_V1_genomic',cluster1
GCF_000654175_1_Myco_tube_TKK_04_0120_V1_genomic',cluster9
GCF_000654195_1_Myco_tube_TKK_04_0122_V1_genomic',cluster1
GCF_000654215_1_Myco_tube_TKK_04_0123_V1_genomic',cluster1
GCF_000654235_1_Myco_tube_M984_V1_genomic',cluster9
GCF_000654255_1_Myco_tube_M987_V1_genomic',cluster9
GCF_000654275_1_Myco_tube_M990_V1_genomic',cluster9
GCF_000654295_1_Myco_tube_M991_V1_genomic',cluster9
GCF_000654315_1_Myco_tube_M1004_V1_genomic',cluster9
GCF_000654335_1_Myco_tube_M992_V1_genomic',cluster9
GCF_000654355_1_Myco_tube_M995_V1_genomic',cluster9
GCF_000654375_1_Myco_tube_M1007_V1_genomic',cluster9
GCF_000654395_1_Myco_tube_M1008_V1_genomic',cluster9
GCF_000654415_1_Myco_tube_M1009_V1_genomic',cluster9
GCF_000654435_1_Myco_tube_M1010_V1_genomic',cluster9
GCF_000654455_1_Myco_tube_M1012_V1_genomic',cluster9
GCF_000654475_1_Myco_tube_M1011_V1_genomic',cluster9
GCF_000654495_1_Myco_tube_M1017_V1_genomic',cluster5
GCF_000654515_1_Myco_tube_M1021_V1_genomic',cluster9
GCF_000654535_1_Myco_tube_M1023_V1_genomic',cluster9
GCF_000654555_1_Myco_tube_M1022_V1_genomic',cluster9
GCF_000654575_1_Myco_tube_M1024_V1_genomic',cluster9
GCF_000654595_1_Myco_tube_M1025_V1_genomic',cluster9
GCF_000654615_1_Myco_tube_M1026_V1_genomic',cluster9
GCF_000654635_1_Myco_tube_M1034_V1_genomic',cluster9
GCF_000654655_1_Myco_tube_M1210_V1_genomic',cluster9
