Protein,Cluster
Rhomboid protease GlpG,cluster3
GDP-6-deoxy-D-mannose reductase,cluster3
Phosphoheptose isomerase,cluster3
D-glycero-alpha-D-manno-heptose 7-phosphate kinase,cluster3
putative hydrogen peroxide-inducible genes activator,cluster3
Oxalyl-CoA decarboxylase,cluster3
putative sulfoacetate--CoA ligase,cluster3
Elongation factor G-like protein,cluster3
Trehalose synthase/amylase TreS,cluster3
Diacylglycerol acyltransferase/mycolyltransferase Ag85C,cluster3
putative enoyl-CoA hydratase 1,cluster3
(R)-benzylsuccinyl-CoA dehydrogenase,cluster3
F420-dependent hydroxymycolic acid dehydrogenase,cluster3
Soluble epoxide hydrolase,cluster1
Putative cytochrome P450 138,cluster3
Peptide methionine sulfoxide reductase MsrA,cluster3
Aurachin B dehydrogenase,cluster3
Voltage-gated ClC-type chloride channel ClcB,cluster3
Putative S-adenosyl-L-methionine-dependent methyltransferase,cluster7
Putative short-chain type dehydrogenase/reductase,cluster4
2-haloacrylate reductase,cluster0
putative PE-PGRS family protein PE_PGRS24,cluster4
Crotonobetainyl-CoA reductase,cluster4
NAD(P) transhydrogenase subunit alpha part 1,cluster3
NAD(P) transhydrogenase subunit beta,cluster3
HTH-type transcriptional repressor KstR2,cluster0
PE family protein PE3,cluster0
Alcohol dehydrogenase B,cluster0
Long-chain-fatty-acid--CoA ligase FadD13,cluster4
Lipoprotein LprN,cluster4
ECF RNA polymerase sigma factor SigG,cluster3
Monoacylglycerol lipase,cluster3
Thermostable beta-glucosidase B,cluster3
Catechol O-methyltransferase,cluster3
Dihydroxy-acid dehydratase,cluster3
Copper-sensing transcriptional repressor RicR,cluster3
Chloramphenicol efflux pump,cluster3
Multidrug efflux ATP-binding/permease protein,cluster3
Periplasmic nitrate reductase,cluster3
Neutral endopeptidase,cluster3
Heme uptake protein MmpL11,cluster3
Heme-binding protein,cluster3
Putative transport protein,cluster0
Trehalose monomycolate exporter MmpL3,cluster0
tRNA (guanine-N(7)-)-methyltransferase,cluster3
Phosphoenolpyruvate carboxykinase [GTP],cluster3
Trifunctional NAD biosynthesis/regulator protein NadR,cluster3
(2S)-methylsuccinyl-CoA dehydrogenase,cluster3
Beta-methylmalyl-CoA dehydratase,cluster3
Acetyl esterase,cluster4
Putative diacyglycerol O-acyltransferase,cluster7
Carnitinyl-CoA dehydratase,cluster4
Geranial dehydrogenase,cluster3
putative methyltransferase,cluster0
D-inositol-3-phosphate glycosyltransferase,cluster3
Porin PorA,cluster3
Ribonuclease VapC51,cluster0
Putative antitoxin VapB51,cluster3
Phosphotriesterase homology protein,cluster3
R2-like ligand binding oxidase,cluster3
Succinate-semialdehyde dehydrogenase [NADP(+)] 1,cluster3
Putative secreted protein.1,cluster3
Beta-hexosaminidase LpqI,cluster3
Ribonuclease VapC24,cluster3
3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase,cluster4
3-ketoacyl-CoA thiolase FadI,cluster3
Butyryl-CoA dehydrogenase,cluster3
Flavin reductase,cluster0
Fumarate reductase iron-sulfur subunit,cluster0
Succinate dehydrogenase flavoprotein subunit,cluster0
Nitrite reductase [NAD(P)H],cluster3
Nitrite reductase (NADH) small subunit,cluster3
Bifunctional adenosylcobalamin biosynthesis protein CobU,cluster3
Cobyric acid synthase,cluster3
putative PPE family protein PPE2,cluster3
Nitrate/nitrite transporter NarK,cluster4
Aminoglycoside 2-N-acetyltransferase,cluster3
5-oxoprolinase subunit C,cluster3
5-oxoprolinase subunit B,cluster3
Long-chain-fatty-acid--CoA ligase,cluster4
Acyl-CoA dehydrogenase FadE34,cluster4
Ribonuclease VapC25,cluster3
putative PPE family protein PPE3,cluster3
ESX-3 secretion system protein EccA3,cluster3
ESX-3 secretion system ATPase EccB3,cluster0
ESX-3 secretion system protein EccC3,cluster3
PE family immunomodulator PE5,cluster0
PPE family protein PPE4,cluster0
ESAT-6-like protein EsxG,cluster3
ESAT-6-like protein EsxH,cluster3
ESX-3 secretion-associated protein EspG3,cluster3
ESX-3 secretion system protein EccD3,cluster3
ESX-3 secretion system protein EccE3,cluster3
putative trans-aconitate 2-methyltransferase,cluster3
Trehalose 2-sulfotransferase,cluster3
Ulvan-active sulfatase,cluster3
PE-PGRS family protein PE_PGRS5,cluster3
Antitoxin VapB2,cluster3
Ribonuclease VapC2,cluster3
Bile acid 7-alpha dehydratase,cluster3
Chaperone protein DnaK,cluster4
Pyrrolidone-carboxylate peptidase,cluster3
UDP-glucose 6-dehydrogenase,cluster3
1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase,cluster0
Putative cytochrome P450 135A1,cluster3
HTH-type transcriptional regulator BetI,cluster4
Glucose-1-phosphate thymidylyltransferase,cluster3
putative aspartate aminotransferase,cluster3
Isoniazid-induced protein IniB,cluster3
Isoniazid-induced protein IniA,cluster3
Isoniazid-induced protein IniC,cluster3
L-asparagine permease 2,cluster3
Protein GrpE,cluster3
Chaperone protein DnaJ 1,cluster3
Putative heat shock protein HspR,cluster3
Adenylosuccinate synthetase,cluster3
Putative zinc metalloprotease Rip2,cluster3
Magnesium transporter MgtE,cluster3
Fructose-bisphosphate aldolase,cluster3
putative membrane protein,cluster7
Purine catabolism protein PucB,cluster3
Carbon monoxide dehydrogenase large chain,cluster3
Carbon monoxide dehydrogenase small chain,cluster3
Carbon monoxide dehydrogenase medium chain,cluster3
Calcium dodecin,cluster3
tRNA (guanosine(18)-2-O)-methyltransferase,cluster3
Orotate phosphoribosyltransferase,cluster0
Chaperone protein ClpB,cluster3
Putative HTH-type transcriptional regulator,cluster4
putative PPE family protein PPE32,cluster0
Formate-dependent phosphoribosylglycinamide formyltransferase,cluster3
O-succinylhomoserine sulfhydrylase,cluster3
Nitric oxide reductase FlRd-NAD(+) reductase,cluster3
Acyl-CoA dehydrogenase,cluster4
putative transport protein MmpL1,cluster3
IS3 family transposase IS987,cluster7
Long-chain-fatty-acid--AMP ligase FadD30,cluster3
Hydroxyacylglutathione hydrolase,cluster4
F420-dependent glucose-6-phosphate dehydrogenase,cluster0
Phosphate acetyltransferase,cluster3
Acetate kinase,cluster3
Serine/threonine-protein kinase PknG,cluster3
Putative 8-oxo-dGTP diphosphatase 3,cluster3
Thiamine-phosphate synthase,cluster3
Glycine oxidase,cluster3
Thiazole synthase,cluster3
putative lipoprotein aminopeptidase LpqL,cluster3
Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase,cluster3
Phosphomethylpyrimidine synthase,cluster3
Exodeoxyribonuclease III,cluster3
Peptide deformylase,cluster3
Superoxide dismutase [Cu-Zn],cluster3
Putative glutamate--cysteine ligase 2,cluster3
ATP-dependent zinc metalloprotease FtsH,cluster0
Phosphatidylserine decarboxylase proenzyme,cluster3
Molybdopterin molybdenumtransferase 2,cluster3
60 kDa chaperonin 2,cluster3
putative PPE family protein PPE10,cluster3
Anti-sigma-K factor RskA,cluster3
ECF RNA polymerase sigma factor SigK,cluster3
Tuberculostearic acid methyltransferase UfaA1,cluster3
Siderophore exporter MmpL4,cluster3
Siderophore export accessory protein MmpS4,cluster0
putative PPE family protein PPE20,cluster0
Putative enoyl-CoA hydratase EchA13,cluster4
putative aldehyde dehydrogenase,cluster3
Dihydrolipoyl dehydrogenase,cluster0
HTH-type transcriptional regulator RamB,cluster3
Isocitrate lyase,cluster3
3-hydroxybutyryl-CoA dehydrogenase,cluster3
S-adenosylmethionine-dependent methyltransferase UmaA,cluster3
Cyclopropane mycolic acid synthase 3,cluster3
Heparin-binding hemagglutinin,cluster3
Deoxyribose-phosphate aldolase,cluster3
UDP-N-acetylenolpyruvoylglucosamine reductase,cluster3
putative oxidoreductase,cluster7
Transcriptional regulator,cluster0
D-inositol 3-phosphate glycosyltransferase,cluster3
Arginine exporter protein ArgO,cluster0
Sensor-like histidine kinase senX3,cluster3
Sensory transduction protein regX3,cluster3
putative GMC-type oxidoreductase,cluster0
Exopolyphosphatase 1,cluster3
Pyrroline-5-carboxylate reductase,cluster3
Putative DNA-binding proteinA,cluster3
Cyclopropane mycolic acid synthase 2,cluster3
Phosphoserine phosphatase SerB1,cluster3
putative transport accessory protein MmpS2,cluster3
putative transport protein MmpL2,cluster0
Glutamyl-tRNA reductase,cluster3
Porphobilinogen deaminase,cluster3
Siroheme synthase,cluster0
Delta-aminolevulinic acid dehydratase,cluster3
GDSL lipase,cluster3
Sarcosine/dimethylglycine N-methyltransferase,cluster3
GABA permease,cluster3
Thiol-disulfide oxidoreductase ResA,cluster4
Cytochrome c biogenesis protein Ccs1,cluster3
Cytochrome c biogenesis protein CcsA,cluster3
3-oxoacyl-[acyl-carrier-protein] synthase 3,cluster3
S-methyl-5-thioadenosine phosphorylase,cluster3
dTDP-L-rhamnose 4-epimerase,cluster3
putative glycosyltransferase,cluster4
putative 2-succinylbenzoate--CoA ligase,cluster3
Fatty acyl-CoA reductase,cluster3
Ribonuclease VapC3,cluster0
Antitoxin VapB3,cluster3
N-substituted formamide deformylase,cluster3
o-succinylbenzoate synthase,cluster3
Putative non-heme bromoperoxidase BpoC,cluster4
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,cluster3
GDP-mannose-dependent alpha-mannosyltransferase,cluster3
Demethylmenaquinone methyltransferase,cluster3
Menaquinone reductase,cluster3
Heptaprenyl diphosphate synthase component 2,cluster0
Protease HtpX,cluster0
putative glycerol-3-phosphate dehydrogenase 2 [NAD(P)+],cluster3
FAD-containing monooxygenase EthA,cluster4
Putative cytochrome P450 135B1,cluster3
Vitamin B12-dependent ribonucleoside-diphosphate reductase,cluster3
Putative phosphoribosyl transferase,cluster3
Nicotinate phosphoribosyltransferase pncB2,cluster3
putative polyglutamine synthesis accessory protein,cluster3
Putative glyoxylase CFP32,cluster0
Antitoxin VapB26,cluster3
Ribonuclease VapC26,cluster3
HTH-type transcriptional regulator Mce2R,cluster3
Ribonuclease VapC4,cluster3
Antitoxin VapB4,cluster3
Ribonuclease VapC27,cluster3
Antitoxin VapB27,cluster3
Sensor histidine kinase component HK1,cluster3
Sensor histidine kinase component HK2,cluster3
Transcriptional regulatory protein TcrA,cluster3
IS607 family transposase IS1536,cluster3
Antitoxin VapB28,cluster3
Ribonuclease VapC28,cluster3
putative proteinB,cluster3
Putative antitoxin VapB29,cluster3
Ribonuclease VapC29,cluster3
Galactose-1-phosphate uridylyltransferase,cluster3
Antitoxin VapB30,cluster0
Ribonuclease VapC30,cluster0
TVP38/TMEM64 family membrane protein,cluster3
Putative antitoxin VapB5,cluster3
Ribonuclease VapC5,cluster0
RecBCD enzyme subunit RecD,cluster3
RecBCD enzyme subunit RecB,cluster3
RecBCD enzyme subunit RecC,cluster3
putative polyketide biosynthesis zinc-dependent hydrolase BaeB,cluster3
50S ribosomal protein L33 2,cluster0
Protein translocase subunit SecE,cluster3
Transcription termination/antitermination protein NusG,cluster3
50S ribosomal protein L11,cluster3
50S ribosomal protein L1,cluster3
Hydroxymycolate synthase MmaA4,cluster3
Methoxy mycolic acid synthase MmaA3,cluster3
Cyclopropane mycolic acid synthase MmaA2,cluster3
Mycolic acid methyltransferase MmaA1,cluster3
Aclacinomycin methylesterase RdmC,cluster3
N-acetylmannosamine kinase,cluster3
50S ribosomal protein L10,cluster3
50S ribosomal protein L7/L12,cluster3
Carotenoid cleavage oxygenase,cluster0
putative ribonucleotide transport ATP-binding protein mkl,cluster3
putative endoribonuclease MazF2,cluster3
tRNA(fMet)-specific endonuclease VapC,cluster3
DNA-directed RNA polymerase subunit beta,cluster3
DNA-directed RNA polymerase subunit beta bis,cluster3
Putative amidase AmiD,cluster0
Neutral ceramidase,cluster3
putative endonuclease 4,cluster3
Putative acyl-CoA dehydrogenase AidB,cluster3
Siderophore exporter MmpL5,cluster3
Siderophore export accessory protein MmpS5,cluster3
HTH-type transcriptional regulator MmpR5,cluster3
30S ribosomal protein S12,cluster3
30S ribosomal protein S7,cluster3
Elongation factor G,cluster3
Elongation factor Tu,cluster3
putative NAD-dependent oxidoreductase,cluster3
Ferredoxin--NAD(P)(+) reductase fdr,cluster3
Putative mycofactocin biosynthesis transcriptional regulator MftR,cluster3
Putative mycofactocin radical SAM maturase MftC,cluster3
Putative mycofactocin system heme/flavin oxidoreductase MftD,cluster3
Putative mycofactocin system creatinine amidohydrolase family protein MftE,cluster3
Putative mycofactocin biosynthesis glycosyltransferase MftF,cluster3
Oxygen-dependent choline dehydrogenase,cluster3
30S ribosomal protein S10,cluster3
50S ribosomal protein L3,cluster3
50S ribosomal protein L4,cluster3
50S ribosomal protein L23,cluster3
50S ribosomal protein L2,cluster3
30S ribosomal protein S19,cluster3
50S ribosomal protein L22,cluster3
30S ribosomal protein S3,cluster3
50S ribosomal protein L16,cluster3
50S ribosomal protein L29,cluster3
30S ribosomal protein S17,cluster3
Formylglycine-generating enzyme,cluster3
50S ribosomal protein L14,cluster3
50S ribosomal protein L24,cluster3
50S ribosomal protein L5,cluster3
30S ribosomal protein S14 type Z,cluster3
30S ribosomal protein S8,cluster3
50S ribosomal protein L6,cluster3
50S ribosomal protein L18,cluster3
30S ribosomal protein S5,cluster3
50S ribosomal protein L30,cluster3
50S ribosomal protein L15,cluster3
5-deoxy-D-ribulose 1-phosphate aldolase,cluster3
Putative 2-hydroxyacid dehydrogenase YoaD,cluster3
Xylulose kinase,cluster3
Protein translocase subunit SecY,cluster3
Adenylate kinase,cluster3
Methionine aminopeptidase 1,cluster3
ECF RNA polymerase sigma factor SigL,cluster3
Anti-sigma-L factor RslA,cluster3
ISL3 family transposase IS1557,cluster4
putative 3-hydroxyisobutyrate dehydrogenase,cluster0
Antitoxin VapB31,cluster3
Ribonuclease VapC31,cluster3
Putative 3-oxopropanoate dehydrogenase,cluster3
PE-PGRS family protein PE_PGRS11,cluster0
putative PPE family protein PPE40,cluster7
putative transcriptional regulatory protein TcrX,cluster4
putative sensor histidine kinase TcrY,cluster4
putative HIT-like protein,cluster3
Lanosterol 14-alpha demethylase,cluster3
Putative cytochrome P450 123,cluster3
Putative aldehyde dehydrogenase,cluster3
Phosphoribosylamine--glycine ligase,cluster3
Glutathione hydrolase-like YwrD proenzyme,cluster3
Adenylosuccinate lyase,cluster3
Putative cytochrome P450 126,cluster3
Phosphoribosylaminoimidazole-succinocarboxamide synthase,cluster3
Dipeptidyl aminopeptidase BI,cluster3
Putative multidrug resistance protein MdtD,cluster4
KsdD-like steroid dehydrogenase,cluster3
Phosphoribosylformylglycinamidine synthase subunit PurS,cluster3
Phosphoribosylformylglycinamidine synthase subunit PurQ,cluster3
Soluble pyridine nucleotide transhydrogenase,cluster6
IS110 family transposase IS1547,cluster0
Dye-decolorizing peroxidase YfeX,cluster3
putative M18 family aminopeptidase 2,cluster3
Putative succinyl-CoA transferase,cluster3
Phosphoribosylformylglycinamidine synthase subunit PurL,cluster3
Exopolysaccharide phosphotransferase CpsY,cluster3
Phosphoribosylformylglycinamidine cyclo-ligase,cluster3
Putative thiosulfate sulfurtransferase,cluster0
Mycothiol acetyltransferase,cluster3
Phosphate import ATP-binding protein PstB 1,cluster3
Phosphate-specific transport system accessory protein PhoU,cluster0
Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU,cluster3
putative tRNA-dihydrouridine synthase,cluster3
Putative acyl-[acyl-carrier-protein] desaturase DesA1,cluster3
HTH-type transcriptional regulator KmtR,cluster3
tRNA-specific adenosine deaminase,cluster4
PE-PGRS family protein PE_PGRS26,cluster0
D-alanyl-D-alanine dipeptidase,cluster3
Proline iminopeptidase,cluster3
putative transcriptional regulatory protein NarL,cluster3
putative sensor histidine kinase NarS,cluster3
Multicopper oxidase MmcO,cluster3
Lipoprotein LpqS,cluster3
S-sulfocysteine synthase,cluster3
Multidrug resistance protein MdtH,cluster3
1-deoxy-11-beta-hydroxypentalenate dehydrogenase,cluster3
Alpha-keto-acid decarboxylase,cluster3
Acetyl-CoA:oxalate CoA-transferase,cluster0
putative N-succinyldiaminopimelate aminotransferase DapC,cluster3
Putative acyltransferase,cluster3
Fatty acid oxidation complex subunit alpha,cluster3
Cyclic pyranopterin monophosphate synthase 2,cluster3
Molybdopterin adenylyltransferase,cluster3
Molybdopterin synthase catalytic subunit 2,cluster3
Resuscitation-promoting factor RpfA,cluster3
Inner membrane protein YccF,cluster3
putative acyl-CoA dehydrogenase FadE10,cluster3
23S rRNA (guanosine-2-O-)-methyltransferase RlmB,cluster3
Phosphoserine aminotransferase,cluster3
putative ferredoxin/ferredoxin--NADP reductase,cluster3
Putative citrate synthase 2,cluster3
putative monooxygenase,cluster3
Citrate synthase 1,cluster3
Peptidoglycan-binding protein ArfA,cluster3
putative membrane protein ArfB,cluster3
putative membrane protein ArfC,cluster3
Sensor-type histidine kinase PrrB,cluster3
Transcriptional regulatory protein PrrA,cluster3
Putative acetyl-coenzyme A carboxylase carboxyl transferase subunit beta,cluster3
putative enoyl-CoA hydratase echA6,cluster3
Calcium-transporting ATPase CtpE,cluster3
putative PPE family protein PPE29,cluster4
Glycine betaine/proline betaine transporter BetS,cluster3
IS256 family transposase IS1554,cluster3
IS607 family transposase IS1535,cluster3
Divalent metal cation transporter MntH,cluster3
8-demethyl-8-aminoriboflavin-5-phosphate synthase,cluster3
Phosphate-binding protein PstS 3,cluster3
Phosphate transport system permease protein PstC 2,cluster3
Phosphate transport system permease protein PstA 1,cluster3
Serine/threonine-protein kinase PknD,cluster0
Phosphate-binding protein PstS 2,cluster3
Phosphate import ATP-binding protein PstB 2,cluster3
Phosphate-binding protein PstS 1,cluster3
Phosphate transport system permease protein PstC 1,cluster3
Phosphate transport system permease protein PstA 2,cluster3
Non-homologous end joining protein Ku,cluster3
Multifunctional non-homologous end joining DNA repair protein LigD,cluster3
putative formamidopyrimidine-DNA glycosylase-like protein,cluster3
Glucose-6-phosphate isomerase,cluster3
Intracellular chorismate mutase,cluster3
ATP-dependent DNA helicase UvrD1,cluster3
Succinate--CoA ligase [ADP-forming] subunit beta,cluster3
Succinate--CoA ligase [ADP-forming] subunit alpha,cluster3
34 kDa antigenic protein,cluster3
Phosphoribosylglycinamide formyltransferase,cluster3
Bifunctional purine biosynthesis protein PurH,cluster3
Copper-sensing transcriptional repressor CsoR,cluster0
putative copper-exporting P-type ATPase V,cluster3
putative enoyl-CoA hydratase,cluster3
Acyl-CoA dehydrogenase fadE12,cluster3
Acetyl-/propionyl-coenzyme A carboxylase alpha chain,cluster0
putative propionyl-CoA carboxylase beta chain 5,cluster4
PE-PGRS family protein PE_PGRS16,cluster0
PE-PGRS family protein PE_PGRS17,cluster3
50S ribosomal protein L32,cluster3
PE-PGRS family protein PE_PGRS18,cluster3
Response regulator MprA,cluster3
Signal transduction histidine-protein kinase/phosphatase MprB,cluster3
Molybdenum cofactor biosynthesis protein B,cluster3
Large-conductance mechanosensitive channel,cluster3
5-formyltetrahydrofolate cyclo-ligase,cluster3
UTP--glucose-1-phosphate uridylyltransferase,cluster0
Molybdopterin molybdenumtransferase 1,cluster3
[Ribosomal protein S5]-alanine N-acetyltransferase,cluster3
Acetyltransferase Pat,cluster3
Arginine deiminase,cluster3
putative dolichyl-phosphate-mannose--protein mannosyltransferase,cluster3
Ribosomal RNA small subunit methyltransferase I,cluster3
Isochorismate synthase MenF,cluster3
Methionine--tRNA ligase,cluster3
putative metal-dependent hydrolase TatD,cluster3
Resuscitation-promoting factor RpfB,cluster3
Ribosomal RNA small subunit methyltransferase A,cluster3
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,cluster3
Putative ligase,cluster3
Peptidyl-tRNA hydrolase,cluster3
50S ribosomal protein L25,cluster3
Putative lipoprotein LpqT,cluster3
Ribose-phosphate pyrophosphokinase,cluster3
Bifunctional protein GlmU,cluster3
Transcription-repair-coupling factor,cluster3
Nucleoside triphosphate pyrophosphohydrolase,cluster3
Exopolyphosphatase 2,cluster3
Transcriptional regulatory protein KdpE,cluster3
Sensor protein KdpD,cluster3
Potassium-transporting ATPase potassium-binding subunit,cluster3
Potassium-transporting ATPase ATP-binding subunit,cluster3
Potassium-transporting ATPase KdpC subunit,cluster3
ISNCY family transposase ISRjo3,cluster4
ESAT-6-like protein EsxV,cluster3
ESAT-6-like protein EsxJ,cluster0
PPE family protein PPE15,cluster4
IS5 family transposase ISMt1,cluster0
IS256 family transposase IS1081,cluster4
3-methylmercaptopropionyl-CoA ligase,cluster3
Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase,cluster0
putative NTE family protein,cluster0
putative enoyl-CoA hydratase echA8,cluster4
3-ketoacyl-CoA thiolase,cluster4
GDSL-like esterase,cluster3
Putative cystathionine beta-synthase,cluster3
Proline-rich antigen,cluster3
Cystathionine gamma-synthase,cluster3
Transcription elongation factor GreA,cluster3
Mycothiol S-conjugate amidase,cluster3
Pantothenate kinase,cluster3
Serine hydroxymethyltransferase 1,cluster3
Putative acyl-[acyl-carrier-protein] desaturase DesA2,cluster3
Fumarate hydratase class II,cluster3
Endoribonuclease MazF3,cluster3
Antitoxin MazE3,cluster3
Para-nitrobenzyl esterase,cluster4
3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase,cluster3
Exodeoxyribonuclease 7 small subunit,cluster3
Exodeoxyribonuclease 7 large subunit,cluster3
4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2,cluster3
Ribosome-binding ATPase YchF,cluster3
Antitoxin VapB32,cluster3
Ribonuclease VapC32,cluster3
Glucose-6-phosphate 1-dehydrogenase 1,cluster3
Putative aminoacrylate hydrolase RutD,cluster0
Epoxide hydrolase A,cluster4
HTH-type transcriptional regulator PrpR,cluster3
2-methylcitrate dehydratase,cluster3
2-methylcitrate synthase,cluster3
5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase,cluster3
NAD-dependent protein deacylase,cluster3
F420H(2)-dependent reductase,cluster3
Polyprenol-phosphate-mannose-dependent alpha-(1-2)-phosphatidylinositol pentamannoside mannosyltransferase,cluster3
Putative pterin-4-alpha-carbinolamine dehydratase,cluster4
Putative 8-oxo-dGTP diphosphatase 2,cluster3
Nitrate reductase alpha subunit,cluster3
Respiratory nitrate reductase 2 beta chain,cluster3
Nitrate reductase-like protein NarX,cluster0
GTP-binding protein TypA/BipA,cluster3
putative monoacyl phosphatidylinositol tetramannoside-binding protein LpqW,cluster3
putative PPE family protein PPE17,cluster3
Triacylglycerol lipase,cluster4
FO synthase,cluster3
Glutamate-pyruvate aminotransferase AlaC,cluster3
Mycolipanoate synthase,cluster3
Acyltransferase papA3,cluster3
Acyltrehalose exporter MmpL10,cluster3
Diacyltrehalose acyltransferase Chp2,cluster3
Putative fatty-acid--CoA ligase FadD21,cluster3
1-pyrroline-5-carboxylate dehydrogenase 1,cluster3
Proline dehydrogenase 1,cluster3
putative ECF RNA polymerase sigma factor SigI,cluster3
Haloalkane dehalogenase 2,cluster4
PE family protein PE13,cluster4
PPE family protein PPE18,cluster4
ESAT-6-like protein EsxP,cluster1
ESAT-6-like protein EsxL,cluster3
Inner membrane metabolite transport protein YhjE,cluster3
Putative succinyl-diaminopimelate desuccinylase DapE,cluster3
Cytokinin riboside 5-monophosphate phosphoribohydrolase,cluster3
Inactive dihydropteroate synthase 2,cluster3
Glucosyl-3-phosphoglycerate synthase,cluster3
DNA-3-methyladenine glycosylase 1,cluster3
Alpha-maltose-1-phosphate synthase,cluster3
Glucose-1-phosphate adenylyltransferase,cluster3
Cocaine esterase,cluster0
Multidrug efflux system permease protein,cluster3
Multidrug efflux system ATP-binding protein,cluster3
HTH-type transcriptional regulatory protein RaaS,cluster3
Putative O-methyltransferase,cluster3
ECF RNA polymerase sigma factor SigE,cluster3
Anti-sigma-E factor RseA,cluster3
Sec-independent protein translocase protein TatB,cluster3
Dihydroxyacetone phosphatase,cluster8
Iron-sulfur cluster carrier protein,cluster3
Trehalose-binding lipoprotein LpqY,cluster3
Trehalose transport system permease protein SugA,cluster3
Trehalose transport system permease protein SugB,cluster3
Trehalose import ATP-binding protein SugC,cluster3
Cobalt/magnesium transport protein CorA,cluster3
Malate dehydrogenase,cluster3
Antitoxin VapB33,cluster3
Ribonuclease VapC33,cluster3
Putative oxidoreductase SadH,cluster4
Toxin RelE,cluster3
Antitoxin RelB,cluster3
Multifunctional 2-oxoglutarate metabolism enzyme,cluster3
Multidrug resistance protein 3,cluster3
Putative lipoprotein LprE,cluster3
ATP-dependent RNA helicase DeaD,cluster0
Cytochrome P450 130,cluster3
putative FAD-linked oxidoreductase,cluster4
Multidrug efflux pump Tap,cluster3
Type-5 uracil-DNA glycosylase,cluster3
F420H(2)-dependent quinone reductase,cluster0
Putative amidase AmiB2,cluster3
pH-sensitive adenylate cyclase,cluster3
Serine/threonine-protein kinase PknH,cluster3
Transcriptional regulatory protein EmbR,cluster0
Lipoprotein LprA,cluster3
Fatty acid ABC transporter ATP-binding/permease protein,cluster3
Putative lipoprotein LprB,cluster3
Putative peptide transport permease protein,cluster0
Beta-carbonic anhydrase 1,cluster3
Sulfate adenylyltransferase subunit 2,cluster3
Bifunctional enzyme CysN/CysC,cluster3
Arginine--tRNA ligase,cluster3
Diaminopimelate decarboxylase,cluster3
Homoserine dehydrogenase,cluster3
Threonine synthase,cluster3
Homoserine kinase,cluster3
Transcription termination factor Rho,cluster3
50S ribosomal protein L31,cluster3
Peptide chain release factor 1,cluster3
Release factor glutamine methyltransferase,cluster3
